primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
Aarti Rajput,8.2,8.2,,0.0,0.0
Aarti Rughani,,,,0.0,0.0
Aarti Sapakal,,,,0.0,0.0
Aarti Shinde,7.2,7.2,,0.0,0.0
Aarti Shree,,,,0.0,0.0
Aarti Solanki,6.9799999999999995,8.0,0.6572670690061991,0.0,0.0
Aarti Tiwari,,,,0.0,0.0
Aarti Vazirani,,,,0.0,0.0
Aarti Wadagbalkar,7.65,7.7,0.07071067811865482,0.0,0.0
Aartii Naagpal,4.9,7.1,1.7644640357154724,0.0,0.0
Aaruni Jha,,,,0.0,0.0
Aarushi,,,,0.0,0.0
Aarushi Sharma,5.800000000000001,5.9,0.14142135623730995,0.0,0.0
Aarushi Tiwari,,,,0.0,0.0
Aarushi Vedikha,7.35,7.4,0.07071067811865545,0.0,0.0
Aarvi Aruna,,,,0.0,0.0
Aarya Ambekar,8.0,8.0,,0.0,0.0
Aarya Ghag,,,,0.0,0.0
Aarya Vora,5.3,5.3,,0.0,0.0
Aaryaa Sharma,,,,0.0,0.0
Aaryn Smith,6.2,6.2,,0.0,0.0
Aarzoo Ahuja,,,,0.0,0.0
Aase,7.0,7.0,,0.0,0.0
Aase Hansen,6.199999999999999,7.3,1.5556349186104044,0.0,0.0
Aase Lykke-Jensen,,,,0.0,0.0
Aase Werrild,5.0,6.4,1.9798989873223332,0.0,0.0
Aasha,,,,0.0,0.0
Aasha Davis,6.1000000000000005,7.2,1.0535653752852738,0.0,0.0
Aasha Marnad,8.1,8.1,,0.0,0.0
Aasha Pawar,7.0,7.0,,0.0,0.0
Aasheekaa Bathija,7.45,7.9,0.636396103067893,0.0,0.0
Aashi Patwa,5.8,5.8,,0.0,0.0
Aashi Rawal,6.6,6.6,,0.0,0.0
Aashida,,,,0.0,0.0
Aashika Bhatia,4.4,4.4,,0.0,0.0
Aashild Bendixen,,,,0.0,0.0
Aashima Kapoor Bhanushali,5.5,5.5,0.0,0.0,0.0
Aashna Arora,4.7,4.7,,0.0,0.0
Aashna Chopra,8.0,8.0,,0.0,0.0
Aashritha,6.5,6.5,,0.0,0.0
Aasia,6.62,7.8,0.8584870412533899,0.0,0.0
Aasia Taylor-Patterson,,,,0.0,0.0
Aaslesha Thakuri,6.7,6.7,,0.0,0.0
Aasma Saeed,6.1,6.1,,0.0,0.0
Aasni Manaswini Gowd,,,,0.0,0.0
