primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
Aaron Hillis,7.9,7.9,,0.0,0.0
Aaron Hobson,,,,0.0,0.0
Aaron Horvath,6.7,6.7,,0.0,0.0
Aaron Hose,8.35,8.7,0.49497474683058273,0.0,0.0
Aaron Houston,6.8,6.8,,0.0,0.0
Aaron Huang,,,,0.0,0.0
Aaron Hudson,,,,0.0,0.0
Aaron Huggett,7.966666666666666,8.2,0.2516611478423584,0.0,0.0
Aaron Hultgren,3.7,3.7,,0.0,0.0
Aaron Hwang,,,,0.0,0.0
Aaron I. Naar,6.7,6.7,,0.0,0.0
Aaron Irons,,,,0.0,0.0
Aaron Isaac Vasquez,5.0,5.0,,0.0,0.0
Aaron J. Christopher,4.65,6.3,2.333452377915607,0.0,0.0
Aaron J. Davis,4.449999999999999,6.6,3.0405591591021546,0.0,0.0
Aaron J. March,5.4,5.4,,0.0,0.0
Aaron J. Salgado,6.6,6.6,,0.0,0.0
Aaron J. Shelton,4.4,4.4,,0.0,0.0
Aaron J. Wiederspahn,6.699999999999999,7.1,0.5656854249492382,0.0,0.0
Aaron Jackson,2.5,2.5,,0.0,0.0
Aaron James,6.3,7.8,1.5,0.0,0.0
Aaron James Martin,3.1,3.1,,0.0,0.0
Aaron Janzen,,,,0.0,0.0
Aaron Jay Rome,6.5,7.7,1.6970562748477143,0.0,0.0
Aaron Johnson,,,,0.0,0.0
Aaron Jones,,,,0.0,0.0
Aaron K. Carter,4.35,4.6,0.3535533905932738,0.0,0.0
Aaron Kalantarov,7.3,7.3,,0.0,0.0
Aaron Kamp,6.7,6.7,,0.0,0.0
Aaron Katz,5.9799999999999995,6.3,0.3420526275297413,0.0,0.0
Aaron Kaufman,4.3,4.3,,0.0,0.0
Aaron Keeling,6.4,6.4,,0.0,0.0
Aaron Keene,8.1,8.1,,0.0,0.0
Aaron Khandros,,,,0.0,0.0
Aaron Kim,5.8,6.0,0.2828427124746193,0.0,0.0
Aaron Kim Johnston,6.2,6.4,0.2828427124746193,0.0,0.0
Aaron Kish,,,,0.0,0.0
Aaron Klusmann,6.8,6.8,,0.0,0.0
Aaron Kopp,7.4,7.4,,0.0,0.0
Aaron Kozak,,,,0.0,0.0
Aaron Kreltszheim,,,,0.0,0.0
Aaron Kuerth,,,,0.0,0.0
Aaron Kunkel,7.1,7.1,,0.0,0.0
Aaron Kurmey,4.3,6.6,2.165640782770771,0.0,0.0
Aaron L. Williams,5.057142857142857,7.0,1.5175167685588,0.0,0.0
Aaron Lam,,,,0.0,0.0
Aaron Lang,,,,0.0,0.0
Aaron Lebsack,,,,0.0,0.0
