primaryName,actor_score_mean,actor_score_max,actor_score_std,actor_ganador_oscar_prom,actor_nominado_oscar_prom
A.C. McCray,5.033333333333334,5.5,0.41633319989322637,0.0,0.0
A.C. Murali,4.7,4.7,,0.0,0.0
A.C. Newman,6.1,6.1,,0.0,0.0
A.C. Peterson,5.364285714285714,7.1,0.87407722142325,0.0,0.0
A.C. Santos,4.4,4.4,,0.0,0.0
A.C. Tony Smith,6.3,6.3,,0.0,0.0
A.C. Weary,4.7,4.7,,0.0,0.0
A.D. Calvo,4.9,4.9,,0.0,0.0
A.D. Massi,5.1,5.1,,0.0,0.0
A.D. Miles,6.425,7.0,0.7135591542869213,0.0,0.0
A.D. Peters,3.8,3.8,,0.0,0.0
A.D. Roso,5.2,5.2,,0.0,0.0
A.D. Scott,,,,0.0,0.0
A.E. Vea,4.1,4.1,,0.0,0.0
A.F. Grant,,,,0.0,0.0
A.F. Vasquez,8.4,8.4,,0.0,0.0
A.G. Ahmed,8.1,8.1,,0.0,0.0
A.G. Ford,,,,0.0,0.0
A.G. Jitters,,,,0.0,0.0
A.G. Roberto,4.3,4.3,,0.0,0.0
A.G. Vitanza,6.8,6.8,,0.0,0.0
A.H.L. Holdijk,7.8,7.8,,0.0,0.0
A.I. Bezzerides,6.9,6.9,,0.0,0.0
A.J Fraser,,,,0.0,0.0
A.J.,2.5,2.5,,0.0,0.0
A.J. Adamu,,,,0.0,0.0
A.J. Ahumada,,,,0.0,0.0
A.J. Allegra,5.7,6.7,1.4142135623730951,0.0,0.0
A.J. Aschaber,3.5,3.5,,0.0,0.0
A.J. Bailey,3.3,3.3,,0.0,0.0
A.J. Beckles,6.8,6.8,,0.0,0.0
A.J. Benza,5.4799999999999995,7.1,1.032956920689338,0.0,0.0
A.J. Berna,5.6,5.6,,0.0,0.0
A.J. Bernardo,,,,0.0,0.0
A.J. Bigland,,,,0.0,0.0
A.J. Binder,,,,0.0,0.0
A.J. Birtwistle,3.9,3.9,,0.0,0.0
A.J. Bond,6.2,6.2,,0.0,0.0
A.J. Brooks,4.7,4.7,,0.0,0.0
A.J. Browman-Shelton,,,,0.0,0.0
A.J. Brown,6.028571428571429,6.6,0.41115400891590387,0.0,0.0
A.J. Bruno,,,,0.0,0.0
A.J. Bryan,7.8,7.8,,0.0,0.0
A.J. Buckley,5.082352941176471,6.6,0.7723626853020923,0.0,0.0
A.J. Caprio,,,,0.0,0.0
A.J. Carian,6.7,6.7,,0.0,0.0
A.J. Castro,3.175,4.8,1.1265729744080792,0.0,0.0
A.J. Chiodini,5.6,5.6,,0.0,0.0
A.J. Ciccotelli,4.6,6.0,1.9798989873223334,0.0,0.0
A.J. Clarke,7.0,7.0,,0.0,0.0
A.J. Cotton,5.2,5.2,,0.0,0.0
A.J. Cutler,,,,0.0,0.0
A.J. Damato,5.1,5.1,,0.0,0.0
A.J. DeLucia,3.7,3.7,,0.0,0.0
A.J. Deane,8.0,8.0,,0.0,0.0
A.J. Del Cueto,5.9,5.9,,0.0,0.0
A.J. Deliantis,,,,0.0,0.0
A.J. Demers,6.8,6.8,,0.0,0.0
A.J. Diaferio,3.6,3.6,,0.0,0.0
A.J. Ditty,6.65,7.0,0.49497474683058307,0.0,0.0
A.J. Draven,3.25,4.6,0.9146948489341494,0.0,0.0
A.J. Duhe,4.8,4.8,,0.0,0.0
A.J. Dunbar,7.4,7.4,,0.0,0.0
A.J. Ekoku,4.5,4.5,,0.0,0.0
A.J. Elez,4.6,4.6,,0.0,0.0
A.J. Faraj,7.0,7.0,,0.0,0.0
A.J. Ford,6.800000000000001,7.2,0.5656854249492382,0.0,0.0
A.J. Freeman,4.0,4.0,,0.0,0.0
A.J. Gagliardi,7.6,7.6,,0.0,0.0
A.J. Garrett,7.8,7.8,,0.0,0.0
A.J. Germaine,5.2,5.7,0.6244997998398402,0.0,0.0
A.J. Gevaerd,7.6,7.6,,0.0,0.0
A.J. Glendenning,5.2,5.2,,0.0,0.0
A.J. Gutierrez,4.6,4.6,,0.0,0.0
A.J. Hamilton,,,,0.0,0.0
A.J. Hammond,2.5,2.5,,0.0,0.0
A.J. Helfet,5.4,5.4,,0.0,0.0
A.J. Henderson,4.75,5.7,1.3435028842544405,0.0,0.0
A.J. Hicks,4.6,4.6,,0.0,0.0
A.J. Hilliard,,,,0.0,0.0
A.J. Holmes,5.699999999999999,7.6,2.68700576850888,0.0,0.0
A.J. Houghton,7.1,7.1,,0.0,0.0
A.J. Hyde,5.9,5.9,,0.0,0.0
A.J. Jerrick,,,,0.0,0.0
A.J. Johnson,6.7,6.7,,0.0,0.0
A.J. Kelly,7.0,7.0,,0.0,0.0
A.J. Kennedy,6.7,6.7,,0.0,0.0
A.J. Kepka,8.3,8.3,,0.0,0.0
A.J. Klassen,4.550000000000001,4.7,0.21213203435596445,0.0,0.0
A.J. Laird,,,,0.0,0.0
A.J. Lamas,4.55,4.8,0.3535533905932738,0.0,0.0
A.J. Lee,5.4,5.4,,0.0,0.0
A.J. Leslie,4.0,4.0,,0.0,0.0
A.J. Lowenthal,4.9,4.9,,0.0,0.0
A.J. Maiorana,,,,0.0,0.0
A.J. Marciona,1.5,1.5,,0.0,0.0
A.J. Marshall,8.8,8.8,,0.0,0.0
A.J. McClain,2.5,2.5,,0.0,0.0
A.J. McCulloch,,,,0.0,0.0
A.J. McKee,,,,0.0,0.0
A.J. McLean,4.15,5.1,1.3435028842544403,0.0,0.0
A.J. Mendini,3.8,3.8,,0.0,0.0
A.J. Minotti,8.3,8.3,,0.0,0.0
A.J. Moorehead,,,,0.0,0.0
A.J. Morabito,4.9,4.9,,0.0,0.0
A.J. Murtagh,5.5,5.5,0.0,0.0,0.0
A.J. Nay,2.7,2.7,,0.0,0.0
A.J. Nolan,,,,0.0,0.0
A.J. Ona,4.9,4.9,,0.0,0.0
A.J. Orille,6.8,6.8,,0.0,0.0
A.J. Paratore,7.0,7.0,,0.0,0.0
A.J. Patel,3.9000000000000004,5.4,2.121320343559643,0.0,0.0
A.J. Pero,6.4,6.4,,0.0,0.0
A.J. Pinkerton,,,,0.0,0.0
A.J. Popoff,,,,0.0,0.0
A.J. Quintana,,,,0.0,0.0
A.J. Richards,3.5,3.5,,0.0,0.0
